Tarih,TP_FG_J0,TP_FG_J01,TP_FG_J02,TP_FG_J03,TP_FG_J04,TP_FG_J05,TP_FG_J06,TP_FG_J07,TP_FG_J08,TP_FG_J09,TP_FG_J10,TP_FG_J11,TP_FG_J12
2017-12,327.41,363.38,591.36,221.1,358.47,258.65,195.46,326.65,134.77,223.11,324.39,482.5,393.72
2018-1,330.75,369.45,593.67,207.78,366.86,264.95,200.19,330.9,133.44,225.92,325.12,487.35,405.36
2018-2,333.17,377.74,593.86,199.29,368.78,268.2,205.33,331.92,133.74,230.18,325.77,492.0,408.69
2018-3,336.48,385.4,593.87,201.38,370.39,270.3,209.23,334.43,133.87,231.36,328.83,496.07,411.49
2018-4,342.78,384.6,593.92,222.32,375.15,276.01,210.19,346.28,133.82,235.23,331.06,501.78,421.03
2018-5,348.34,390.19,594.83,233.91,378.73,278.42,210.91,354.31,134.28,238.15,334.48,509.07,429.7
2018-6,357.44,413.51,594.96,231.23,382.64,284.66,212.69,363.74,140.67,243.29,337.33,517.92,437.23
2018-7,359.41,412.35,599.46,224.14,386.86,289.85,215.24,367.71,140.51,247.22,340.92,529.6,439.78
2018-8,367.66,412.61,602.0,220.58,401.77,303.08,217.13,384.08,144.2,253.68,343.62,539.58,465.52
2018-9,390.84,439.01,602.41,229.34,424.11,337.67,222.13,419.21,145.8,270.47,357.3,565.3,500.05
2018-10,401.27,453.16,603.51,258.56,441.7,349.28,225.41,415.66,148.79,276.06,357.32,573.91,508.11
2018-11,395.48,449.8,604.56,264.7,443.79,339.32,226.7,388.79,147.9,270.31,357.38,576.29,503.21
2018-12,393.88,454.64,605.52,253.89,443.54,339.77,228.1,378.82,147.74,269.64,357.45,578.07,507.12
2019-1,398.07,483.87,609.26,233.7,429.81,341.98,236.21,379.59,148.84,278.22,357.71,584.28,525.48
2019-2,398.71,488.24,609.94,222.45,429.84,342.2,242.06,382.29,148.34,277.2,363.56,589.39,523.44
2019-3,402.81,500.14,609.99,223.47,430.98,343.23,250.48,385.14,147.91,277.82,368.84,593.31,526.48
2019-4,409.63,507.12,651.31,235.45,432.57,352.31,251.7,389.74,147.47,280.7,373.49,600.02,536.67
2019-5,413.52,501.16,709.14,245.08,434.32,346.74,251.77,398.25,147.56,285.93,378.42,609.71,544.63
2019-6,413.63,492.9,709.43,241.24,435.43,348.73,253.21,400.11,148.12,285.82,384.11,625.87,554.76
2019-7,419.24,487.44,714.76,233.52,448.94,363.5,253.84,417.97,149.35,290.4,387.55,634.74,558.23
2019-8,422.84,483.68,851.35,230.94,458.1,364.09,255.07,409.88,149.35,291.92,404.05,639.51,563.18
2019-9,427.04,480.79,866.61,235.87,467.95,366.9,256.37,416.46,149.25,290.38,407.32,649.38,574.97
2019-10,435.59,488.73,866.63,263.47,484.55,370.44,257.5,421.32,151.38,288.68,408.07,652.6,576.33
2019-11,437.25,489.8,866.66,270.55,486.29,372.62,258.1,422.69,151.97,288.92,408.68,651.59,573.8
2019-12,440.5,504.14,866.65,265.38,487.44,373.05,259.18,425.08,152.41,288.59,409.15,654.18,576.22
2020-1,446.45,527.59,866.45,247.73,493.27,367.66,269.45,428.76,152.03,293.97,411.75,663.25,604.36
2020-2,448.02,539.88,854.81,235.76,495.65,367.37,274.93,427.15,151.7,293.85,415.3,668.69,609.5
2020-3,450.58,550.42,855.12,237.29,496.96,369.64,282.56,419.0,151.63,296.48,418.17,674.5,617.08
2020-4,454.43,564.32,855.31,246.98,495.39,373.66,284.06,411.33,149.76,294.49,419.61,675.32,645.84
2020-5,460.62,565.68,860.99,263.9,497.06,377.94,284.68,424.9,151.96,296.62,420.78,676.43,658.26
2020-6,465.84,556.61,868.44,266.95,500.54,382.69,287.51,443.98,155.29,303.89,428.92,695.55,664.62
2020-7,468.56,549.48,870.4,257.67,505.21,391.78,289.81,454.8,158.03,307.94,436.37,704.05,680.51
2020-8,472.61,549.04,872.12,252.23,510.03,396.51,292.52,461.9,158.87,311.23,438.38,715.0,715.18
2020-9,477.21,552.66,872.47,252.16,514.76,408.5,295.06,470.38,159.31,313.97,438.08,720.26,719.71
2020-10,487.38,569.4,872.4,269.32,525.13,418.52,297.67,479.98,159.67,313.69,438.1,725.37,734.26
2020-11,498.58,593.07,872.43,273.24,530.64,425.61,300.04,501.61,159.86,318.5,437.27,733.6,742.61
2020-12,504.81,608.06,872.31,264.54,534.18,440.35,302.38,514.86,161.14,318.72,437.14,737.25,738.27
2021-1,513.3,623.16,878.17,252.97,550.29,453.13,315.24,520.65,161.64,322.63,437.0,748.72,752.59
2021-2,517.96,639.2,879.35,250.63,553.6,454.58,324.71,523.15,162.55,319.48,440.77,758.58,735.14
2021-3,523.53,646.41,879.67,254.93,557.45,457.03,336.72,523.13,163.78,325.91,452.99,778.33,749.69
2021-4,532.32,660.16,886.09,274.23,562.76,456.88,338.61,531.9,163.32,330.79,462.46,788.85,763.86
2021-5,537.05,662.08,885.96,279.07,567.03,460.3,339.62,545.51,164.23,326.42,465.25,796.33,776.23
2021-6,547.48,667.88,885.88,285.77,573.7,481.01,342.32,560.71,164.81,340.98,475.51,826.76,797.18
2021-7,557.36,686.41,886.1,279.67,602.77,480.72,343.74,566.77,165.0,345.42,482.69,849.27,798.23
2021-8,563.6,708.25,887.73,271.06,608.49,487.34,344.82,562.42,166.48,349.33,485.51,868.59,807.87
2021-9,570.66,711.76,888.14,270.62,622.72,503.56,346.61,565.44,167.26,353.05,510.5,887.83,819.88
2021-10,584.32,725.45,941.17,291.07,636.97,514.9,348.85,579.17,168.11,354.85,511.38,908.36,834.22
2021-11,604.84,753.88,941.45,296.01,656.84,532.59,351.91,615.69,169.08,362.97,511.79,945.62,878.92
2021-12,686.95,874.42,1046.98,317.78,686.8,620.66,364.42,791.13,175.25,399.87,512.48,1038.39,999.42
2022-1,763.23,969.71,1276.31,317.02,816.66,700.24,405.48,879.32,179.03,434.95,518.57,1126.11,1080.25
2022-2,799.93,1051.29,1281.95,317.97,828.85,749.27,431.4,919.45,181.88,446.78,538.78,1177.29,1145.22
2022-3,843.64,1101.0,1332.12,323.64,844.12,773.57,454.39,1041.68,188.48,459.21,574.08,1248.45,1201.16
2022-4,904.79,1248.33,1385.71,346.17,906.81,811.62,460.35,1094.98,193.88,473.95,590.69,1335.19,1212.39
2022-5,931.76,1268.74,1476.21,362.23,927.17,838.1,467.78,1132.57,196.77,503.09,593.12,1408.17,1249.45
2022-6,977.9,1295.25,1514.77,362.89,1004.5,871.32,476.98,1252.47,203.94,513.25,607.51,1484.48,1304.72
2022-7,1001.03,1336.07,1618.58,369.42,1024.47,905.43,510.26,1241.84,207.56,536.34,612.13,1521.38,1331.59
2022-8,1015.65,1347.48,1620.0,374.15,1045.5,935.78,546.03,1219.74,211.52,554.23,652.23,1571.7,1383.0
2022-9,1046.89,1374.05,1620.68,379.63,1149.98,955.13,557.49,1230.73,218.71,566.04,697.79,1609.96,1427.08
2022-10,1084.0,1443.99,1674.14,411.28,1179.49,997.0,567.45,1257.64,224.39,573.24,700.33,1652.46,1462.34
